GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,universum.studios.android.recycler.helper,ItemSwipeHelper.new Runnable() {...},0,33,0,4,0,6,0,4,0,2
library,universum.studios.android.recycler.helper,RecyclerViewItemHelper.ItemInteractor,0,165,0,24,0,40,0,24,0,12
library,universum.studios.android.recycler.helper,RecyclerViewItemHelper,33,25,5,1,4,9,3,3,0,3
library,universum.studios.android.recycler.helper,ItemDragHelper,0,14,0,0,0,5,0,3,0,3
library,universum.studios.android.recycler.helper,ItemDragHelper.Interactor,4,336,5,51,0,78,4,48,0,24
library,universum.studios.android.recycler.helper,ItemSwipeHelper.Interactor,0,298,1,47,0,82,1,46,0,23
library,universum.studios.android.recycler.helper,ItemSwipeHelper.SwipeItemAnimator,0,37,0,6,0,8,0,5,0,2
library,universum.studios.android.recycler.helper,ItemSwipeHelper,0,120,0,15,0,33,0,17,0,9
library,universum.studios.android.recycler.decoration,ItemDividerDecoration,81,494,16,76,15,120,9,59,0,22
library,universum.studios.android.recycler.decoration,RecyclerViewItemDecoration.Precondition.new RecyclerViewItemDecoration.Precondition() {...},0,5,0,0,0,2,0,2,0,2
library,universum.studios.android.recycler.decoration,ItemSpaceDecoration,67,157,13,25,13,41,7,25,0,13
library,universum.studios.android.recycler.decoration,RecyclerViewItemDecoration.Precondition,0,5,0,0,0,1,0,1,0,1
library,universum.studios.android.recycler.decoration,RecyclerViewItemDecoration,25,78,5,7,5,26,3,15,0,12
